Mn,Ni,Mg,Ca,Fe,La,Y,In,J.uAcm2_0.80_fromCV,J.uAcm2_0.63_secondCA,J.uAcm2_0.63_initialCA
0.8,0,0,0,0,0,0.2,0,669.449365,2528.766667,1721.909524
0.6,0.1,0,0.2,0.1,0,0,0,1082.4595,2526.959524,2826.421429
0,0.1,0.7,0,0.1,0.1,0,0,,2519.37619,1469.252381
0,0.1,0.3,0,0.4,0,0.2,0,,2516.461905,
0,0.2,0,0.3,0.3,0,0.2,0,759.52215,2507.757143,1159.580952
0,0.4,0,0.1,0.2,0.3,0,0,631.648355,2503.980952,559.1419048
0.2,0,0.2,0,0.2,0.4,0,0,789.8709,2502.87619,1327.457143
0.5,0.3,0.1,0,0.1,0,0,0,1023.75575,2501.266667,2876.628571
0.6,0,0,0.2,0.1,0,0,0.1,,2500.385714,1722.014286
0.3,0.2,0,0.3,0.2,0,0,0,669.5247,2499.980952,2277.971429
0.1,0,0.2,0.5,0,0.2,0,0,794.2276,2497.633333,866.4680952
0.3,0,0,0.2,0.4,0.1,0,0,636.6135,2492.828571,2338.133333
0.1,0,0,0.8,0.1,0,0,0,558.75855,2491.972381,1074.154762
0,0.9,0.1,0,0,0,0,0,911.6795,2491.919048,1533.533333
0,0.2,0.3,0,0.3,0,0.2,0,824.438,2489.309524,1749.747619
0.4,0,0,0.1,0.5,0,0,0,814.629,2482.542857,3200.733333
0.7,0,0,0.1,0,0.2,0,0,,2480.25,2461.354762
0.8,0,0,0.1,0.1,0,0,0,1049.7245,2478.161905,2729.038095
0.5,0,0.1,0,0.2,0.2,0,0,712.015,2476.004762,2700.652381
0.6,0.1,0,0,0.1,0.2,0,0,741.4625,2475.730952,2473.002381
0,0.7,0.2,0,0,0.1,0,0,756.6705,2468.285714,1006.012381
0.5,0.3,0.1,0,0,0.1,0,0,1023.0185,2467.180952,
0.7,0,0.1,0,0,0.2,0,0,946.1755,2465.461905,2099.414286
0.3,0.2,0.2,0,0.3,0,0,0,497.3395,2459.333333,2680.978571
0.3,0.1,0,0.2,0.4,0,0,0,678.19975,2456.62381,3093.142857
0.5,0,0.2,0.2,0,0,0.1,0,988.0175,2455.204762,1541.385714
0.1,0,0.5,0.3,0,0.1,0,0,604.8775,2454.62381,565.2861905
0.3,0,0.1,0.4,0.2,0,0,0,708.5855,2447.757143,1970.902381
0.2,0.4,0,0,0.3,0,0.1,0,979.3405,2443.133333,1548.357143
0.5,0,0,0.1,0.1,0.3,0,0,658.01485,2443.119048,1836.628571
0.8,0,0,0,0,0.1,0,0.1,765.586,2438.485714,
0.5,0.4,0.1,0,0,0,0,0,598.685025,2438.042857,2511.914286
0.3,0,0.3,0.3,0,0.1,0,0,725.127,2437.680952,1568.957143
0.1,0.1,0.6,0.2,0,0,0,0,641.6785,2436.252381,2316.861905
0.2,0,0,0.4,0.2,0.2,0,0,835.837,2434.019048,1304.152381
0.3,0,0.3,0,0.3,0.1,0,0,664.973,2432.271429,
0.5,0,0.2,0,0.1,0,0.2,0,771.6845,2429.519048,3094.685714
0.3,0,0,0.4,0.1,0.2,0,0,691.6115,2428.947619,
0.1,0,0.2,0.4,0,0.3,0,0,,2428.647619,
0.5,0.2,0.2,0,0,0.1,0,0,888.9365,2425.119048,2485.419048
0.3,0,0.1,0,0.3,0.3,0,0,454.953361,2421.952381,1497.042857
0.2,0.6,0,0,0.1,0.1,0,0,276.238286,2420.298571,1306.980952
0.2,0.1,0.7,0,0,0,0,0,959.1345,2419.271429,2238.02381
0.2,0,0.3,0,0.1,0.4,0,0,718.0225,2417.685714,2505.27619
0.6,0.1,0,0,0.3,0,0,0,710.296,2416.314286,2129.932545
0,0.3,0,0.2,0.1,0.4,0,0,486.156,2414.866667,618.5995238
0,0.3,0,0.4,0.1,0,0.2,0,588.012155,2412.528571,1461.504762
0.7,0,0.2,0,0,0.1,0,0,840.2965,2409.02381,2763.692857
0.1,0,0.2,0,0.4,0.3,0,0,807.6905,2403.814286,1020.028095
0.7,0,0,0,0.3,0,0,0,887.89375,2399.87619,1993.957143
0.7,0,0,0,0.1,0,0.2,0,337.57055,2396.188095,2507.616667
0.3,0,0,0,0.5,0.2,0,0,582.2985,2395.269048,1297.543571
0.6,0.2,0.1,0.1,0,0,0,0,1275.5485,2395.209524,2197.630952
0.2,0,0.1,0,0.7,0,0,0,533.677,2392.857143,1716.728571
0.1,0,0.2,0,0.3,0.4,0,0,493.106,2391.442857,1069.747619
0.3,0.3,0.3,0,0.1,0,0,0,679.507,2390.014286,2973.628571
0.6,0.2,0.1,0,0.1,0,0,0,1167.80275,2386.933333,2602.052381
0,0.2,0.1,0,0.6,0.1,0,0,558.904,2386.419048,
0.4,0.3,0.2,0,0.1,0,0,0,747.6005,2385.580952,2148.228571
0.5,0.1,0,0,0.2,0.2,0,0,606.767475,2384.809524,2476.316667
0,0.1,0,0.1,0.1,0.7,0,0,422.414,2380.509524,937.5628571
0.1,0.5,0,0.3,0.1,0,0,0,658.2875,2373.571429,1623.77619
0,0.2,0,0.2,0.5,0.1,0,0,667.9705,2370.652381,852.7857143
0.4,0.3,0.3,0,0,0,0,0,464.5727225,2368.378571,1971.497619
0,0.3,0.1,0.3,0,0.3,0,0,575.022,2367.552381,991.4961905
0.2,0.5,0.1,0,0.2,0,0,0,544.22655,2364.795238,2137.084286
0,0.2,0.4,0.1,0,0.3,0,0,614.4266,2362.7,1994.590476
0.1,0,0,0.4,0.2,0.3,0,0,868.5115,2359.952381,
